+--------------------------------------------------------------------------------------------+--------------------------+---------------------------------+---------------------------------------------------------------------------+------------+------------------------+
| Nombre                                                                                     | Marca                    | Tipo                            | Variante                                                                  | Tamaño     | Categoría              |
| Aceitunas Castell verdes 0 frasco 900 gr                                                   | Castell                  | Aceituna                        | Verdes 0                                                                  | 900 g      | Almacen                |
| Aceitunas Castell verdes 2 frasco 900 gr                                                   | Castell                  | Aceituna                        | Verdes 2                                                                  | 900 g      | Almacen                |
| Aceitunas CASTELL verdes descarozadas pet 800 gr                                           | Castell                  | Aceituna                        | Verdes Descarozadas                                                       | 800 g      | Almacen                |
| Aceitunas Morixe enteras doypack 300 gr                                                    | Morixe                   | Aceituna                        | Enteras                                                                   | 300 g      | Almacen                |
| Aceitunas Nucete negras light frasco 360 gr                                                | Nucete                   | Aceituna                        | Negras Light                                                              | 360 g      | Almacen                |
| Aceitunas verdes Don Nicanor 5 kg                                                          | Don Nicanor              | Aceitunas Verdes                |                                                                           | 5 kg       | Almacen                |
| Aceitunas verdes Yovinessa balde 2000 g                                                    | Yovinessa                | Aceitunas Verdes                | Balde                                                                     | 2 kg       | Almacen                |
| Aceitunas verdes Yovinessa descarozadas balde  2000 g                                      | Yovinessa                | Aceitunas Verdes                | Descarozadas Balde                                                        | 2 kg       | Almacen                |
| Aceitunas verdes Yovinessa doy pack x 500 gr                                               | Yovinessa                | Aceitunas Verdes                | X                                                                         | 500 g      | Almacen                |
| Aceitunas verdes Yovinessa x 600 gr                                                        | Yovinessa                | Aceitunas Verdes                | X                                                                         | 600 g      | Almacen                |
| Aceitunas Yovinessa descarozada doy pack x 80 g                                            | Yovinessa                | Aceituna                        | Descarozada X                                                             | 80 g       | Almacen                |
| Aceitunas Yovinessa descarozadas doy pack x 150 g                                          | Yovinessa                | Aceituna                        | Descarozadas X                                                            | 150 g      | Almacen                |
| Aceitunas Yovinessa verdes enteras x 100 g                                                 | Yovinessa                | Aceituna                        | Verdes Enteras X                                                          | 100 g      | Almacen                |
| Aceto balsamico Casalta clasico pet 500 cc                                                 | Casalta                  | Aceto Balsamico                 | Clasico                                                                   | 500 ml     | Almacen                |
| Aceto balsamico Casalta tipo reduccion 500 cc                                              | Casalta                  | Aceto Balsamico                 | Tipo Reduccion                                                            | 500 ml     | Almacen                |
| Aceto balsamico COCINERO modena 250 cc                                                     | Cocinero                 | Aceto Balsamico                 | Modena                                                                    | 250 ml     | Almacen                |
| Aceto reduccion Casalta pet 250 cc                                                         | Casalta                  | Aceto Reduccion                 |                                                                           | 250 ml     | Almacen                |
