# Brands from database table products.brand
# Format: Brand | suppliers: supplier1, supplier2 | products: N
# Total exact brand values: 954

AGUANTADORA | suppliers: luvik, maxiconsumo | products: 5
AIR WICK | suppliers: maxiconsumo, nini | products: 5
BORGHETTI | suppliers: luvik, maxiconsumo, nini, santamaria, vital | products: 5
CARO CUORE | suppliers: nini, vital | products: 5
CASCABEL | suppliers: luvik, maxiconsumo, santamaria | products: 5
CAZADOR | suppliers: maxiconsumo, nini, vital | products: 5
CHIVAS REGAL | suppliers: nini, vital | products: 5
COSMICO | suppliers: luvik, vital | products: 5
CRANDALL | suppliers: maxiconsumo, santamaria, vital | products: 5
CRAZY POP | suppliers: nini, santamaria | products: 5
DERMAGLOS | suppliers: nini, vital | products: 5
DUFFY | suppliers: nini, vital | products: 5
DUQUESA | suppliers: luvik, maxiconsumo, nini | products: 5
ESMERALDA | suppliers: luvik, nini | products: 5
GOLONDRINA | suppliers: maxiconsumo, nini, vital | products: 5
HAVANA | suppliers: luvik, maxiconsumo, nini, vital | products: 5
K OTHRINA | suppliers: maxiconsumo, nini | products: 5
KIT KAT | suppliers: luvik, maxiconsumo, vital | products: 5
LAS 3 NINAS | suppliers: maxiconsumo, vital | products: 5
LAS MARIAS | suppliers: maxiconsumo, nini | products: 5
MALTIFE | suppliers: luvik, maxiconsumo, vital | products: 5
MANON | suppliers: luvik, nini, santamaria, vital | products: 5
MINORA | suppliers: luvik, maxiconsumo, nini, santamaria, vital | products: 5
MUNECO REBELDE | suppliers: luvik, maxiconsumo, vital | products: 5
NOBLEX | suppliers: maxiconsumo, vital | products: 5
OLD SMUGGLER | suppliers: luvik, nini, vital | products: 5
PECADO | suppliers: luvik, nini, vital | products: 5
POXIPOL | suppliers: maxiconsumo, nini, vital | products: 5
PROFUGO | suppliers: nini, vital | products: 5
QUILMES | suppliers: nini, vital | products: 5
REFRESCO | suppliers: maxiconsumo, nini | products: 5
RICOMAS | suppliers: maxiconsumo, nini, vital | products: 5
SAENZ BRIONES | suppliers: maxiconsumo, nini, santamaria | products: 5
SHIVA | suppliers: luvik, nini | products: 5
SIGLO DE ORO | suppliers: luvik, maxiconsumo, nini, santamaria | products: 5
TATIN | suppliers: maxiconsumo, vital | products: 5
TOSTITOS | suppliers: maxiconsumo, nini, vital | products: 5
TRES PATITOS | suppliers: nini, santamaria, vital | products: 5
VALLE DE LUNA | suppliers: luvik, nini | products: 5
VANOLI | suppliers: maxiconsumo, vital | products: 5
VASCO VIEJO | suppliers: luvik, nini, vital | products: 5
VITTONE | suppliers: luvik, maxiconsumo, nini, santamaria, vital | products: 5
VOLIGOMA | suppliers: maxiconsumo, nini, vital | products: 5
1930 | suppliers: maxiconsumo, vital | products: 6
8 HERMANOS | suppliers: luvik, maxiconsumo, nini, santamaria | products: 6
ALKA | suppliers: maxiconsumo, vital | products: 6
BACARDI | suppliers: maxiconsumo, nini, vital | products: 6
BALLANTINES | suppliers: luvik, nini, vital | products: 6
BLANCANUEZ | suppliers: maxiconsumo, vital | products: 6
BOLA LOCA | suppliers: maxiconsumo, nini | products: 6
BRIGHTON | suppliers: luvik, maxiconsumo, santamaria, vital | products: 6
CABSHA | suppliers: maxiconsumo, nini, vital | products: 6
COCOA BEACH | suppliers: nini, vital | products: 6
COFFEE MATE | suppliers: maxiconsumo, nini, vital | products: 6
COLON | suppliers: maxiconsumo, santamaria | products: 6
CORDERO CON PIEL DE LOBO | suppliers: luvik, vital | products: 6
COSMOS | suppliers: maxiconsumo, nini, vital | products: 6
ECO DE LOS ANDES | suppliers: nini, vital | products: 6
EFFICIENT | suppliers: luvik, maxiconsumo | products: 6
ETIQUET | suppliers: maxiconsumo, vital | products: 6
EXPRESS | suppliers: luvik, maxiconsumo, vital | products: 6
FRUTTY | suppliers: luvik, nini, vital | products: 6
FULBITO | suppliers: maxiconsumo, santamaria | products: 6
FULL MANI | suppliers: maxiconsumo, nini, vital | products: 6
GAMBEI | suppliers: maxiconsumo, nini, vital | products: 6
IVESS | suppliers: nini, vital | products: 6
LA ESPANOLA | suppliers: luvik, vital | products: 6
LA FARRUCA | suppliers: maxiconsumo, nini | products: 6
LA GOTITA | suppliers: maxiconsumo, nini, santamaria, vital | products: 6
LA LECHERA | suppliers: nini, santamaria, vital | products: 6
LEVEX | suppliers: maxiconsumo, nini, santamaria | products: 6
LUMINARC | suppliers: maxiconsumo, nini | products: 6
MACROBIOTICA | suppliers: luvik, nini | products: 6
MARQUES DEL SUR | suppliers: luvik, maxiconsumo, vital | products: 6
MELLIZAS | suppliers: maxiconsumo, nini, vital | products: 6
MERENGADAS | suppliers: luvik, maxiconsumo, nini, vital | products: 6
MONEDA | suppliers: luvik, nini, santamaria | products: 6
MULTIFLON | suppliers: nini, vital | products: 6
NEOSOL | suppliers: luvik, nini | products: 6
NONISEC | suppliers: nini, vital | products: 6
NUTELLA | suppliers: maxiconsumo, nini, vital | products: 6
OVEJA BLACK | suppliers: nini, vital | products: 6
PALITOS DE LA SELVA | suppliers: maxiconsumo, nini, vital | products: 6
PASO DE LOS TOROS | suppliers: nini, vital | products: 6
PORTENITAS | suppliers: luvik, maxiconsumo, nini, vital | products: 6
PUROCOL | suppliers: nini, santamaria | products: 6
REAL | suppliers: maxiconsumo, nini, vital | products: 6
RESERVA DE LOS ANDES | suppliers: maxiconsumo, nini, santamaria | products: 6
SCHNEIDER | suppliers: nini, santamaria, vital | products: 6
SHOOTER | suppliers: maxiconsumo, vital | products: 6
SPEED | suppliers: nini, vital | products: 6
ST IVES | suppliers: luvik, vital | products: 6
STELLA ARTOIS | suppliers: nini, vital | products: 6
VAIS | suppliers: santamaria, vital | products: 6
YERVITA | suppliers: luvik, maxiconsumo | products: 6
ACQUA DI COLBERT | suppliers: maxiconsumo, vital | products: 7
ALARIS | suppliers: nini, vital | products: 7
ALBERIO | suppliers: nini, santamaria | products: 7
AMOR | suppliers: luvik, maxiconsumo, nini, vital | products: 7
ARMONIA | suppliers: maxiconsumo, nini | products: 7
AUTOR | suppliers: luvik, nini, vital | products: 7
BARILLA | suppliers: luvik, maxiconsumo | products: 7
BAY BISCUIT | suppliers: luvik, santamaria, vital | products: 7
BAYGON | suppliers: luvik, maxiconsumo, nini, vital | products: 7
BLOCK | suppliers: luvik, maxiconsumo, nini | products: 7
CLUB SOCIAL | suppliers: maxiconsumo, nini, santamaria | products: 7
D R F | suppliers: nini, vital | products: 7
DANIELLE | suppliers: nini, vital | products: 7
DE LA HUERTA | suppliers: santamaria, vital | products: 7
DEPIMANIA | suppliers: luvik, vital | products: 7
DV CATENA | suppliers: luvik, maxiconsumo | products: 7
ESANI | suppliers: maxiconsumo, nini, vital | products: 7
FRITOLIM | suppliers: luvik, maxiconsumo, nini, vital | products: 7
IDEAL | suppliers: maxiconsumo, nini, santamaria, vital | products: 7
KESITAS | suppliers: luvik, maxiconsumo, nini, vital | products: 7
KOLESTON | suppliers: maxiconsumo, vital | products: 7
LIV | suppliers: maxiconsumo, nini | products: 7
LOLA MONTES | suppliers: nini, vital | products: 7
LOS ARBOLES | suppliers: maxiconsumo, nini, santamaria, vital | products: 7
MARIA | suppliers: luvik, nini, santamaria, vital | products: 7
MARIPOSA | suppliers: luvik, maxiconsumo, nini, santamaria | products: 7
NETIC | suppliers: maxiconsumo, nini, santamaria | products: 7
NICASIA | suppliers: luvik, maxiconsumo, santamaria | products: 7
POSTALES | suppliers: luvik, nini | products: 7
RED BULL | suppliers: nini, vital | products: 7
RHODESIA | suppliers: luvik, maxiconsumo, vital | products: 7
SAINT FELICIEN | suppliers: maxiconsumo, nini, santamaria | products: 7
SI DIET | suppliers: luvik, nini, santamaria | products: 7
SNUKS | suppliers: maxiconsumo, vital | products: 7
SONRISAS | suppliers: luvik, maxiconsumo, nini, vital | products: 7
SPRITE | suppliers: santamaria, vital | products: 7
SUTER | suppliers: maxiconsumo, nini, vital | products: 7
TAKIS | suppliers: maxiconsumo, vital | products: 7
TITA | suppliers: luvik, maxiconsumo, nini, vital | products: 7
URQUIZA | suppliers: nini, santamaria | products: 7
VEET | suppliers: maxiconsumo, nini, vital | products: 7
AKTIOL | suppliers: maxiconsumo, nini | products: 8
ALAMBRADO | suppliers: luvik, nini, vital | products: 8
ANDES ORIGEN | suppliers: nini, vital | products: 8
BIANCHI | suppliers: luvik, nini, santamaria, vital | products: 8
BIG BEN | suppliers: luvik, maxiconsumo, nini | products: 8
BRIO | suppliers: maxiconsumo, nini, santamaria, vital | products: 8
CARPANO | suppliers: luvik, maxiconsumo, nini, santamaria, vital | products: 8
CHOCOLINO | suppliers: nini, santamaria, vital | products: 8
CIMES | suppliers: nini, santamaria | products: 8
ESTANCIA | suppliers: maxiconsumo, nini | products: 8
FINCA LAS MORAS | suppliers: maxiconsumo, nini, vital | products: 8
GLOUCESTER | suppliers: luvik, maxiconsumo, nini, santamaria | products: 8
