+-----------------------------------------------------+----------------------+----------------------------+------------------------------------+-------------------+-----------+
| Nombre                                              | Marca                | Tipo                       | Variante                           | Tamaño            | Categoría |
| Agua PLACER Sab. Po-melo B. 500 m                   | Placer               | Agua                       | Sab. Po-melo B.                    | 500 ml            | 2_201     |
| Agua PLACER Sab. Pomelo 2,5 l                       | Placer               | Agua                       | Sab. Pomelo                        | 2.5 l             | 2_201     |
| Agua PLACER Sab. Pomelo Bco 1,5 l                   | Placer               | Agua                       | Sab. Pomelo Bco                    | 1.5 l             | 2_201     |
| Aji Molido CENTURION  25 G                          | Centurion            | Aji Molido                 |                                    | 25 g              | 1_113     |
| Aji Molido D ALOMO  25 G                            | D Alomo              | Aji Molido                 |                                    | 25 g              | 1_113     |
| Aji Molido D ALOMO  500 G                           | D Alomo              | Aji Molido                 |                                    | 500 g             | 1_113     |
| Aji Triturado ALICANTE  25 G                        | Alicante             | Aji Triturado              |                                    | 25 g              | 1_113     |
| Ajo Trit.ALICANTE  50 G                             | Alicante             | Ajo Trit.                  |                                    | 50 g              | 1_113     |
| Albahaca ALICANTE  20 G                             | Alicante             | Albahaca                   |                                    | 20 g              | 1_113     |
| Alcohol Etil.96* VILLA IRIS x  500 c                | Villa Iris           | Alcohol Etil. 96*          | X                                  | 500 ml            | 15_1504   |
| Alcohol Etil.96*PUROCOL Uso Alim. 500 c             | Purocol              | Alcohol Etil. 96*          | Uso Alim.                          | 500 ml            | 15_1504   |
| Alfajor CHOCOARROZ DD.Leche 22 G                    | Chocoarroz           | Alfajor                    | Dd. Leche                          | 22 g              | 8_801     |
| Alfajor CHOCOARROZ Marroc 22 G                      | Chocoarroz           | Alfajor                    | Marroc                             | 22 g              | 8_801     |
| Alfajor DE SIATO Blanco  70 G                       | De Siato             | Alfajor                    | Blanco                             | 70 g              | 8_801     |
| Alfajor DE SIATO Negro  70 G                        | De Siato             | Alfajor                    | Negro                              | 70 g              | 8_801     |
| Alfajor FULBITO R/Chocolate  30 G                   | Fulbito              | Alfajor                    | R/chocolate                        | 30 g              | 8_801     |
| Alfajor FULBITO R/Mani  30 G                        | Fulbito              | Alfajor                    | R/mani                             | 30 g              | 8_801     |
| Alfajor GENIO Triple Blanco R/DDL 60 G              | Genio                | Alfajor                    | Triple Blanco R/ddl                | 60 g              | 8_801     |
| Alfajor GUAYMALLEN Blanco 38 G                      | Guaymallen           | Alfajor                    | Blanco                             | 38 g              | 8_801     |
| Alfajor GUAYMALLEN Negro 38 G                       | Guaymallen           | Alfajor                    | Negro                              | 38 g              | 8_801     |
| Alfajor GUAYMALLEN Triple Bco. 70 G                 | Guaymallen           | Alfajor                    | Triple Bco.                        | 70 g              | 8_801     |
| Alfajor GUAYMALLEN Triple Negro 70 G                | Guaymallen           | Alfajor                    | Triple Negro                       | 70 g              | 8_801     |
| Alfajor JORGITO Blanco 50 G                         | Jorgito              | Alfajor                    | Blanco                             | 50 g              | 8_801     |
| Alfajor JORGITO Negro 55 G                          | Jorgito              | Alfajor                    | Negro                              | 55 g              | 8_801     |
| Alfajor SMACK Mousse Rell. Choc&Mani 50 G           | Smack                | Alfajor                    | Mousse Rell. Choc&mani             | 50 g              | 8_801     |
| Alfajor VIMAR Escolar Surt.  28 G                   | Vimar                | Alfajor                    | Escolar Surt.                      | 28 g              | 8_801     |
| Algodon DONCELLA  140 G                             | Doncella             | Algodon                    |                                    | 140 g             | 5_520     |
| Algodon DONCELLA  300 G                             | Doncella             | Algodon                    |                                    | 300 g             | 5_520     |
| Algodon DONCELLA  70 G                              | Doncella             | Algodon                    |                                    | 70 g              | 5_520     |
| Alim.ADES Durazno 1 l                               | Ades                 | Alim.                      | Durazno                            | 1 l               | 2_206     |
| Alim.ADES F.Tropical 1 l                            | Ades                 | Alim.                      | F. Tropical                        | 1 l               | 2_206     |
| Alim.ADES Manzana 1 l                               | Ades                 | Alim.                      | Manzana                            | 1 l               | 2_206     |
| Alim.Masc.CAT CHOW Adultos C&Pollo 8 K              | Cat Chow             | Alim. Masc.                | Adultos C&pollo                    | 8 kg              | 9_901     |
| Alim.Masc.CAT CHOW Adultos P&Pollo 8 K              | Cat Chow             | Alim. Masc.                | Adultos P&pollo                    | 8 kg              | 9_901     |
| Alim.Masc.DOG CHOW Adultos (+7) 8 K                 | Dog Chow             | Alim. Masc.                | Adultos (+7)                       | 8 kg              | 9_901     |
| Alim.Masc.DOG CHOW Adultos Med-Gde. 8 K             | Dog Chow             | Alim. Masc.                | Adultos Med-gde.                   | 8 kg              | 9_901     |
| Alim.Masc.DOG CHOW Adultos TP. Med-Gde. 20 K        | Dog Chow             | Alim. Masc.                | Adultos Tp. Med-gde.               | 20 kg             | 9_901     |
| Alim.Masc.DOG Selec.Criadores Adultos 15+2 K        | Dog                  | Alim. Masc.                | Selec. Criadores Adultos 15+       | 2 kg              | 9_901     |
| Alim.Masc.DOG Selec.CRIADORES Adultos 21+3 K        | Dog                  | Alim. Masc.                | Selec. Criadores Adultos 21+       | 3 kg              | 9_901     |
| Alim.Masc.DOGUI Adultos Cne-PC.Veg 21 K             | Dogui                | Alim. Masc.                | Adultos Cne-pc. Veg                | 21 kg             | 9_901     |
| Alim.Masc.DOGUI Cachorros Cne-PC.Veg 21 K           | Dogui                | Alim. Masc.                | Cachorros Cne-pc. Veg              | 21 kg             | 9_901     |
| Alim.Masc.GATI Carne y Pollo  15 K                  | Gati                 | Alim. Masc.                | Carne y Pollo                      | 15 kg             | 9_901     |
| Alim.Masc.GATI Pescado y Salmon  15 K               | Gati                 | Alim. Masc.                | Pescado y Salmon                   | 15 kg             | 9_901     |
| Alim.Masc.ROSCO Cocktail  15 K                      | Rosco                | Alim. Masc.                | Cocktail                           | 15 kg             | 9_901     |
| Alim.Masc.ROSCO Gato Pescado  10 K                  | Rosco                | Alim. Masc.                | Gato Pescado                       | 10 kg             | 9_901     |
| Alim.Masc.ROSCO Perros Carne  15 K                  | Rosco                | Alim. Masc.                | Perros Carne                       | 15 kg             | 9_901     |
| Alim.Masc.TIERNITOS Adultos Selection 15+2 K        | Tiernitos            | Alim. Masc.                | Adultos Selection 15+              | 2 kg              | 9_901     |
| Alim.Masc.TIERNITOS Carne Select. 15 K              | Tiernitos            | Alim. Masc.                | Carne Select.                      | 15 kg             | 9_901     |
| Almidon D/Maiz MAIZENA  220 G                       | Maizena              | Almidon D/maiz             |                                    | 220 g             | 1_118     |
| Amargo TERMA Cero Limon  1,35 l                     | Terma                | Amargo                     | Cero Limon                         | 1.35 l            | 2_211     |
| Amargo TERMA Cero Patagonico  1,35 l                | Terma                | Amargo                     | Cero Patagonico                    | 1.35 l            | 2_211     |
| Amargo TERMA Citrus 1,35 l                          | Terma                | Amargo                     | Citrus                             | 1.35 l            | 2_211     |
| Amargo TERMA Cuyano 1,35 l                          | Terma                | Amargo                     | Cuyano                             | 1.35 l            | 2_211     |
| Amargo TERMA Limon 1,35 l                           | Terma                | Amargo                     | Limon                              | 1.35 l            | 2_211     |
| Amargo TERMA Patagonico 1,35 l                      | Terma                | Amargo                     | Patagonico                         | 1.35 l            | 2_211     |
| Amargo TERMA Pomelo 1,35 l                          | Terma                | Amargo                     | Pomelo                             | 1.35 l            | 2_211     |
| Amargo TERMA Pomelo Rdo 1,35 l                      | Terma                | Amargo                     | Pomelo Rdo                         | 1.35 l            | 2_211     |
| Amargo TERMA Serrano 1,35 l                         | Terma                | Amargo                     | Serrano                            | 1.35 l            | 2_211     |
| Amargo TRES TORRES Blanco 1,5 l                     | Tres Torres          | Amargo                     | Blanco                             | 1.5 l             | 2_211     |
| Amargo TRES TORRES Limon 1,5 l                      | Tres Torres          | Amargo                     | Limon                              | 1.5 l             | 2_211     |
