key,supplier,sku,name,brand,product_type,variant,weight_g,volume_ml,units_in_name,category_norm,price_unit,price_bulk,stock,scraped_at
PROCENEX|LIMPIADOR|V1800,vital,7791130683777,Limpiador Procenex fragancia flores del jardin 1.8 lt,Procenex,Limpiador,Fragancia Flores del Jardin,,1800.0,,Limpieza,3085.00,18510.00,disponible,2026-03-10
PROCENEX|LIMPIADOR|V1800,vital,7791130683760,Limpiador Procenex fragancia lavanda 1.8 lt,Procenex,Limpiador,Fragancia Lavanda,,1800.0,,Limpieza,3085.00,18510.00,disponible,2026-03-10
PROCENEX|LIMPIADOR|V1800,vital,7791130683784,Limpiador Procenex fragancia marina 1.8 lt,Procenex,Limpiador,Fragancia Marina,,1800.0,,Limpieza,3085.00,18510.00,disponible,2026-03-10
PROCENEX|LIMPIADOR|V1800,vital,7791130683814,Limpiador Procenex fragancia pino 1.8 lt,Procenex,Limpiador,Fragancia Pino,,1800.0,,Limpieza,3085.00,18510.00,disponible,2026-03-10
PROCENEX|LIMPIADOR|V1800,vital,7791130683791,Limpiador Procenex frgancia limon 1.8 lt,Procenex,Limpiador,Frgancia Limon,,1800.0,,Limpieza,3085.00,18510.00,disponible,2026-03-10
PROCENEX|LIMPIADOR|V420,maxiconsumo,16619,LIMPIADOR PROCENEX BAÑO DOYPACK 420 ML,Procenex,Limpiador,Baño,,420.0,,Limpiadores,1595.88,1399.90,En stock,2026-03-06
PROCENEX|LIMPIADOR|V420,maxiconsumo,17047,LIMPIADOR PROCENEX COCINA DOYPACK 420 CC,Procenex,Limpiador,Cocina,,420.0,,Limpiadores,,,Disponibilidad crítica,2026-03-06
PROCENEX|LIMPIADOR|V420,maxiconsumo,17050,LIMPIADOR PROCENEX VIDRIOS DOYPACK 420 CC,Procenex,Limpiador,Vidrios,,420.0,,Limpiadores,,,Disponibilidad crítica,2026-03-06
PROCENEX|LIMPIADOR|V420,vital,7791130002776,Limpiador Procenex baÃ±o espuma activa doy pack 420 cc,Procenex,Limpiador,Baã±o Espuma Activa,,420.0,,Limpieza,1399.00,16788.00,disponible,2026-03-10
PROCENEX|LIMPIADOR|V5000,maxiconsumo,6707,LIMPIADOR PROCENEX FLORES DE JARDIN 5 LT,Procenex,Limpiador,Flores de Jardin,,5000.0,,Limpiadores Para Pisos,8321.88,7299.89,En stock,2026-03-06
PROCENEX|LIMPIADOR|V5000,maxiconsumo,6706,LIMPIADOR PROCENEX LAVANDA 5 LT,Procenex,Limpiador,Lavanda,,5000.0,,Limpiadores Para Pisos,8321.88,7299.89,En stock,2026-03-06
PROCENEX|LIMPIADOR|V5000,maxiconsumo,7986,LIMPIADOR PROCENEX MARINA 5 LT,Procenex,Limpiador,Marina,,5000.0,,Limpiadores Para Pisos,8321.88,7299.89,En stock,2026-03-06
PROCENEX|LIMPIADOR|V5000,maxiconsumo,24730,LIMPIADOR PROCENEX ORIGINAL 5 LT,Procenex,Limpiador,Original,,5000.0,,Limpiadores Para Pisos,9689.88,8499.90,En stock,2026-03-06
PROCENEX|LIMPIADOR|V5000,vital,7791130683869,Limpiador Procenex fragancia flores del jardin 5 lt,Procenex,Limpiador,Fragancia Flores del Jardin,,5000.0,,Limpieza,6498.99,19496.97,disponible,2026-03-10
PROCENEX|LIMPIADOR|V5000,vital,7791130683852,Limpiador Procenex fragancia lavanda 5 lt,Procenex,Limpiador,Fragancia Lavanda,,5000.0,,Limpieza,6498.99,19496.97,disponible,2026-03-10
PROCENEX|LIMPIADOR|V5000,vital,7791130683876,Limpiador Procenex fragancia marina 5 lt,Procenex,Limpiador,Fragancia Marina,,5000.0,,Limpieza,6498.99,19496.97,disponible,2026-03-10
PROCENEX|LIMPIADOR|V5000,vital,7791130683883,Limpiador Procenex original 5 lt,Procenex,Limpiador,Original,,5000.0,,Limpieza,9159.00,27477.00,disponible,2026-03-10
PROCENEX|LIMPIADOR|V900,maxiconsumo,13790,LIMPIADOR PROCENEX BRISA FLORAL 900 CC,Procenex,Limpiador,Brisa Floral,,900.0,,Limpiadores Para Pisos,,,Disponibilidad crítica,2026-03-06
PROCENEX|LIMPIADOR|V900,maxiconsumo,7978,LIMPIADOR PROCENEX CHERRY 900 CC,Procenex,Limpiador,Cherry,,900.0,,Limpiadores Para Pisos,,,Disponibilidad crítica,2026-03-06
PROCENEX|LIMPIADOR|V900,maxiconsumo,6719,LIMPIADOR PROCENEX FLORES DE JARDIN 900 CC,Procenex,Limpiador,Flores de Jardin,,900.0,,Limpiadores Para Pisos,1709.89,1499.90,En stock,2026-03-06
PROCENEX|LIMPIADOR|V900,maxiconsumo,21734,LIMPIADOR PROCENEX GARDENIA 900 CC,Procenex,Limpiador,Gardenia,,900.0,,Limpiadores Para Pisos,,,Disponibilidad crítica,2026-03-06
PROCENEX|LIMPIADOR|V900,maxiconsumo,18359,LIMPIADOR PROCENEX JAZMIN 900 CC,Procenex,Limpiador,Jazmin,,900.0,,Limpiadores Para Pisos,1709.89,1499.90,En stock,2026-03-06
PROCENEX|LIMPIADOR|V900,maxiconsumo,6714,LIMPIADOR PROCENEX LAVANDA 900 CC,Procenex,Limpiador,Lavanda,,900.0,,Limpiadores Para Pisos,1709.89,1499.90,En stock,2026-03-06
PROCENEX|LIMPIADOR|V900,maxiconsumo,6715,LIMPIADOR PROCENEX LIMON 900 CC,Procenex,Limpiador,Limon,,900.0,,Limpiadores Para Pisos,1709.89,1499.90,En stock,2026-03-06
PROCENEX|LIMPIADOR|V900,maxiconsumo,6750,LIMPIADOR PROCENEX MARINA 900 CC,Procenex,Limpiador,Marina,,900.0,,Limpiadores Para Pisos,1709.89,1499.90,En stock,2026-03-06
PROCENEX|LIMPIADOR|V900,maxiconsumo,6718,LIMPIADOR PROCENEX ORIGINAL 900 CC,Procenex,Limpiador,Original,,900.0,,Limpiadores Para Pisos,2222.89,1949.90,En stock,2026-03-06
PROCENEX|LIMPIADOR|V900,maxiconsumo,6717,LIMPIADOR PROCENEX PINO 900 CC,Procenex,Limpiador,Pino,,900.0,,Limpiadores Para Pisos,1709.89,1499.90,En stock,2026-03-06
PROCENEX|LIMPIADOR|V900,maxiconsumo,20666,LIMPIADOR PROCENEX PISO PLASTIFICADOS LAVANDA 900 cc,Procenex,Limpiador,Piso Plastificados Lavanda,,900.0,,Ceras Para Pisos,,,Disponibilidad crítica,2026-03-06
PROCENEX|LIMPIADOR|V900,maxiconsumo,7976,LIMPIADOR PROCENEX TROPICAL 900 CC,Procenex,Limpiador,Tropical,,900.0,,Limpiadores Para Pisos,1709.89,1499.90,En stock,2026-03-06
PROCENEX|LIMPIADOR|V900,vital,7791130146180,Limpiador Procenex  fragancia lavanda 900 cc,Procenex,Limpiador,Fragancia Lavanda,,900.0,,Limpieza,2349.00,28188.00,disponible,2026-03-10
PROCENEX|LIMPIADOR|V900,vital,7791130963343,Limpiador Procenex brisa floral 900 ml,Procenex,Limpiador,Brisa Floral,,900.0,,Limpieza,1459.01,17508.12,disponible,2026-03-10
PROCENEX|LIMPIADOR|V900,vital,7791130684330,Limpiador Procenex fragancia aires de primavera 900 cc,Procenex,Limpiador,Fragancia Aires de Primavera,,900.0,,Limpieza,1459.01,17508.12,disponible,2026-03-10
