name,sku,supplier,category,price_unit,price_bulk,scraped_at
ACEITUNAS CASTELL VERDES EN RODAJAS DOY PACK 80 GR,27689,maxiconsumo,Almacen > Encurtidos > Aceitunas,1367.88,1199.90,2026-03-06
ACEITUNAS CASTELL VERDES EN RODAJAS DOYPACK 150 GR,27238,maxiconsumo,Almacen > Encurtidos > Aceitunas,2222.88,1949.89,2026-03-06
ACEITUNAS CASTELL VERDES RELLENAS DOYPACK 100 GR,27241,maxiconsumo,Almacen > Encurtidos > Aceitunas,1766.87,1549.89,2026-03-06
ACEITUNAS CEBILA VERDE N° 2 PIZZA 5 KG,5950,maxiconsumo,Almacen > Encurtidos > Aceitunas,,,2026-03-06
ACEITUNAS CEBILA VERDE PET 2 KG,27451,maxiconsumo,Almacen > Encurtidos > Aceitunas,,,2026-03-06
ACEITUNAS CEBILA VERDES DESCAROZADAS 800 GR,27449,maxiconsumo,Almacen > Encurtidos > Aceitunas,9199.90,9199.90,2026-03-06
ACEITUNAS CEBILA VERDES PET 1 KG,27450,maxiconsumo,Almacen > Encurtidos > Aceitunas,,,2026-03-06
ACEITUNAS DON NICANOR VERDE 1.7 KG,28451,maxiconsumo,Almacen > Encurtidos > Aceitunas,,,2026-03-06
ACEITUNAS DON NICANOR VERDE 900 GR,14363,maxiconsumo,Almacen > Encurtidos > Aceitunas,,,2026-03-06
ACEITUNAS DON NICANOR VERDE DOYPACK 170 GR,27892,maxiconsumo,Almacen > Encurtidos > Aceitunas,1538.87,1349.89,2026-03-06
ACEITUNAS DON NICANOR VERDE DOYPACK 90 GR,27893,maxiconsumo,Almacen > Encurtidos > Aceitunas,797.89,699.90,2026-03-06
ACEITUNAS DON NICANOR VERDES 5 KG,27246,maxiconsumo,Almacen > Encurtidos > Aceitunas,26999.89,26999.89,2026-03-06
ACEITUNAS MAROLIO VERDE 180 GR,17101,maxiconsumo,Almacen > Encurtidos > Aceitunas,1766.87,1549.89,2026-03-06
ACEITUNAS MAROLIO VERDE DESCAROZADAS FRASCO 160 GR,19370,maxiconsumo,Almacen > Encurtidos > Aceitunas,,,2026-03-06
ACEITUNAS MAROLIO VERDE FRASCO 200 GR,19383,maxiconsumo,Almacen > Encurtidos > Aceitunas,,,2026-03-06
ACEITUNAS MAROLIO VERDE SACHET 100 GR,6382,maxiconsumo,Almacen > Encurtidos > Aceitunas,1025.87,899.89,2026-03-06
ACEITUNAS MAROLIO VERDE SACHET 200 GR,17097,maxiconsumo,Almacen > Encurtidos > Aceitunas,1595.88,1399.90,2026-03-06
ACEITUNAS NUCETE NEGRA 120 GR,5981,maxiconsumo,Almacen > Encurtidos > Aceitunas,,,2026-03-06
ACEITUNAS NUCETE NEGRA N° 6 2 KG,5983,maxiconsumo,Almacen > Encurtidos > Aceitunas,,,2026-03-06
ACEITUNAS NUCETE NEGRA N° 7 200 GR,18515,maxiconsumo,Almacen > Encurtidos > Aceitunas,,,2026-03-06
ACEITUNAS NUCETE NEGRAS N° 4 SACHET 100 GR,184,maxiconsumo,Almacen > Encurtidos > Aceitunas,,,2026-03-06
"ACEITUNAS NUCETE VERDE DESCAROZADAS 1,5 KG",5982,maxiconsumo,Almacen > Encurtidos > Aceitunas,,,2026-03-06
ACEITUNAS NUCETE VERDE DESCAROZADAS DOY PACK 100 GR,5933,maxiconsumo,Almacen > Encurtidos > Aceitunas,1994.89,1749.90,2026-03-06
ACEITUNAS NUCETE VERDE DESCAROZADAS FRASCO 160 GR,44134,maxiconsumo,Almacen > Encurtidos > Aceitunas,,,2026-03-06
ACEITUNAS NUCETE VERDE DESCAROZADAS LIGHT 180 GR,50014,maxiconsumo,Almacen > Encurtidos > Aceitunas,,,2026-03-06
ACEITUNAS NUCETE VERDE DESCAROZADAS SACHET 400 GR,23569,maxiconsumo,Almacen > Encurtidos > Aceitunas,,,2026-03-06
ACEITUNAS NUCETE VERDE DESCAROZADAS SACHET 80 GR,5989,maxiconsumo,Almacen > Encurtidos > Aceitunas,,,2026-03-06
ACEITUNAS NUCETE VERDE N° 4 SACHET 100 GR,5988,maxiconsumo,Almacen > Encurtidos > Aceitunas,,,2026-03-06
ACEITUNAS NUCETE VERDE N° 5 120 GR,5953,maxiconsumo,Almacen > Encurtidos > Aceitunas,,,2026-03-06
ACEITUNAS NUCETE VERDE N° 5 BALDE 5 KG,43256,maxiconsumo,Almacen > Encurtidos > Aceitunas,57449.90,57449.90,2026-03-06
ACEITUNAS NUCETE VERDE N° 5 FRASCO 2 KG,44137,maxiconsumo,Almacen > Encurtidos > Aceitunas,,,2026-03-06
ACEITUNAS NUCETE VERDE N° 5 FRASCO 200 GR,44138,maxiconsumo,Almacen > Encurtidos > Aceitunas,,,2026-03-06
ACEITUNAS NUCETE VERDE N° 5 SACHET 500 GR,5979,maxiconsumo,Almacen > Encurtidos > Aceitunas,4616.88,4049.89,2026-03-06
ACEITUNAS NUCETE VERDE N° 6 BALDE 5 KG,43259,maxiconsumo,Almacen > Encurtidos > Aceitunas,,,2026-03-06
ACEITUNAS NUCETE VERDE N° 7 FRASCO 2 KG,5909,maxiconsumo,Almacen > Encurtidos > Aceitunas,,,2026-03-06
ACEITUNAS NUCETE VERDE N° 7 FRASCO 220 GR,13456,maxiconsumo,Almacen > Encurtidos > Aceitunas,,,2026-03-06
ACEITUNAS NUCETE VERDE N° 7 FRASCO 400 GR,43241,maxiconsumo,Almacen > Encurtidos > Aceitunas,,,2026-03-06
ACEITUNAS NUCETE VERDE RELLENAS 120 GR,5939,maxiconsumo,Almacen > Encurtidos > Aceitunas,,,2026-03-06
